Sigla;Código;Município;pib
BA;2924801;Piritiba;87714,95688
BA;2924900;Planaltino;36973,47134
BA;2925006;Planalto;144656,5768
BA;2925105;Poções;267716,7812
BA;2925204;Pojuca;860542,8995
BA;2925253;Ponto Novo;66580,72367
BA;2925303;Porto Seguro;1758877,117
BA;2925402;Potiraguá;53670,23447
BA;2925501;Prado;291582,3039
BA;2925600;Presidente Dutra;61701,18707
BA;2925709;Presidente Jânio Quadros;46868,85226
BA;2925758;Presidente Tancredo Neves;157947,0472
BA;2925808;Queimadas;120381,1974
BA;2925907;Quijingue;106337,7669
BA;2925931;Quixabeira;35982,90628
BA;2925956;Rafael Jambeiro;184940,6455
BA;2926004;Remanso;227246,4565
BA;2926103;Retirolândia;69980,01435
BA;2926202;Riachão das Neves;718697,9029
BA;2926301;Riachão do Jacuípe;191552,9707
BA;2926400;Riacho de Santana;148291,6052
BA;2926509;Ribeira do Amparo;89786,64763
BA;2926608;Ribeira do Pombal;334500,5661
BA;2926657;Ribeirão do Largo;51823,54483
BA;2926707;Rio de Contas;72791,12784
BA;2926806;Rio do Antônio;54007,26933
BA;2926905;Rio do Pires;46878,18841
BA;2927002;Rio Real;481551,3975
BA;2927101;Rodelas;67011,58679
BA;2927200;Ruy Barbosa;183367,0381
BA;2927309;Salinas da Margarida;94011,7204
BA;2927408;Salvador;29387613,42
BA;2927507;Santa Bárbara;84294,19306
BA;2927606;Santa Brígida;55704,11383
BA;2927705;Santa Cruz Cabrália;256016,7233
BA;2927804;Santa Cruz da Vitória;33227,80966
BA;2927903;Santa Inês;35563,24652
BA;2928000;Santaluz;243793,8413
BA;2928059;Santa Luzia;58021,34521
BA;2928109;Santa Maria da Vitória;280344,3852
BA;2928208;Santana;160597,1121
BA;2928307;Santanópolis;32144,81674
BA;2928406;Santa Rita de Cássia;133543,7625
BA;2928505;Santa Teresinha;47342,66166
BA;2928604;Santo Amaro;531184,2157
BA;2928703;Santo Antônio de Jesus;1144034,033
BA;2928802;Santo Estêvão;426695,0057
BA;2928901;São Desidério;2728690,266
BA;2928950;São Domingos;41303,57576
BA;2929008;São Félix;80714,24796
BA;2929057;São Félix do Coribe;111291,9926
BA;2929107;São Felipe;99123,72703
BA;2929206;São Francisco do Conde;6108696,671
BA;2929255;São Gabriel;71377,16856
BA;2929305;São Gonçalo dos Campos;539328,1357
BA;2929354;São José da Vitória;31315,767
BA;2929370;São José do Jacuípe;59148,21801
BA;2929404;São Miguel das Matas;82408,29161
BA;2929503;São Sebastião do Passé;396838,0115
BA;2929602;Sapeaçu;99596,136
BA;2929701;Sátiro Dias;120366,2595
BA;2929750;Saubara;68314,91274
BA;2929800;Saúde;48126,89791
BA;2929909;Seabra;292122,8667
BA;2930006;Sebastião Laranjeiras;50061,81412
BA;2930105;Senhor do Bonfim;466193,9045
BA;2930154;Serra do Ramalho;192101,4693
BA;2930204;Sento Sé;800474,6043
BA;2930303;Serra Dourada;93394,60117
BA;2930402;Serra Preta;64482,4249
BA;2930501;Serrinha;507315,8922
BA;2930600;Serrolândia;55300,79233
BA;2930709;Simões Filho;2956924,954
BA;2930758;Sítio do Mato;56013,60706
BA;2930766;Sítio do Quinto;48235,66401
BA;2930774;Sobradinho;393616,5744
BA;2930808;Souto Soares;63482,99049
BA;2930907;Tabocas do Brejo Velho;125252,3314
BA;2931004;Tanhaçu;118286,1663
BA;2931053;Tanque Novo;85394,92465
BA;2931103;Tanquinho;31129,51089
BA;2931202;Taperoá;103516,8504
BA;2931301;Tapiramutá;69504,33772
BA;2931350;Teixeira de Freitas;1342475,679
BA;2931400;Teodoro Sampaio;82790,60678
BA;2931509;Teofilândia;89237,21545
BA;2931608;Teolândia;101187,9489
BA;2931707;Terra Nova;79545,82932
BA;2931806;Tremedal;62429,40644
BA;2931905;Tucano;254394,1012
BA;2932002;Uauá;109733,3231
BA;2932101;Ubaíra;107025,374
BA;2932200;Ubaitaba;114353,3148
BA;2932309;Ubatã;104537,758
BA;2932408;Uibaí;82108,13453
BA;2932457;Umburanas;122752,1116
BA;2932507;Una;157271,577
BA;2932606;Urandi;93292,83718
BA;2932705;Uruçuca;138197,8312
BA;2932804;Utinga;86810,28435
BA;2932903;Valença;812541,1059
BA;2933000;Valente;125528,2145
BA;2933059;Várzea da Roça;52376,24466
BA;2933109;Várzea do Poço;54236,93852
BA;2933158;Várzea Nova;108256,3448
BA;2933174;Varzedo;63143,62159
BA;2933208;Vera Cruz;281361,0915
BA;2933257;Vereda;43280,03782
BA;2933307;Vitória da Conquista;3835192,059
BA;2933406;Wagner;41828,73396
BA;2933455;Wanderley;78310,19042
BA;2933505;Wenceslau Guimarães;154812,903
BA;2933604;Xique-Xique;215272,8495
BA;2999919;Trancoso;
BA;2999929;Barcellos;
BA;2999939;Olivença;
BA;2999949;Villa Verde;
CE;2300101;Abaiara;55069,72272
CE;2300150;Acarapé;84022,51122
CE;2300200;Acaraú;476237,2633
CE;2300309;Acopiara;263522,0509
CE;2300408;Aiuaba;70766,11782
CE;2300507;Alcântaras;45841,40942
CE;2300606;Altaneira;34849,03137
CE;2300705;Alto Santo;108424,3955
CE;2300754;Amontada;310647,1804
CE;2300804;Antonina do Norte;36855,83591
CE;2300903;Apuiarés;56473,41224
CE;2301000;Aquiraz;1799220,003
CE;2301109;Aracati;796695,7993
CE;2301208;Aracoiaba;124367,7316
CE;2301257;Ararendá;49847,54957
CE;2301307;Araripe;97087,51363
CE;2301406;Aratuba;70788,99138
CE;2301505;Arneiroz;32781,07508
CE;2301604;Assaré;110754,2306
CE;2301703;Aurora;101200,0859
CE;2301802;Baixio;31528,63112
CE;2301851;Banabuiú;121384,3662
CE;2301901;Barbalha;627951,4995
CE;2301950;Barreira;112041,2183
CE;2302008;Barro;112979,9678
CE;2302057;Barroquinha;62241,74991
CE;2302107;Baturité;209256,6372
CE;2302206;Beberibe;494351,7202
CE;2302305;Bela Cruz;150425,8481
CE;2302404;Boa Viagem;251710,8929
CE;2302503;Brejo Santo;381397,4268
CE;2302602;Camocim;391884,7193
CE;2302701;Campos Sales;136474,3787
CE;2302800;Canindé;425427,6239
CE;2302909;Capistrano;82535,73
CE;2303006;Caridade;86905,04623
CE;2303105;Cariré;90142,82159
CE;2303204;Caririaçu;118161,5287
CE;2303303;Cariús;84484,65044
CE;2303402;Carnaubal;77850,38524
CE;2303501;Cascavel;501527,015
CE;2303600;Catarina;71938,73773
CE;2303659;Catunda;52320,22779
CE;2303709;Caucaia;4861505,229
CE;2303808;Cedro;115453,1128
CE;2303907;Chaval;51497,24654
CE;2303931;Choró;83553,36989
CE;2303956;Chorozinho;121497,3336
CE;2304004;Coreaú;105073,6527
CE;2304103;Crateús;444703,4973
CE;2304202;Crato;873670,4541
CE;2304236;Croatá;104768,8276
CE;2304251;Cruz;173961,338
CE;2304269;Deputado Irapuan Pinheiro;47092,91976
CE;2304277;Ererê;37666,68017
CE;2304285;Eusébio;1670118,379
CE;2304301;Farias Brito;94410,84064
CE;2304350;Forquilha;142356,1505
CE;2304400;Fortaleza;34280519,84
CE;2304459;Fortim;145858,6056
CE;2304509;Frecheirinha;128801,9341
CE;2304608;General Sampaio;40594,96229
CE;2304657;Graça;60550,0403
CE;2304707;Granja;219122,6092
CE;2304806;Granjeiro;23964,48581
CE;2304905;Groaíras;51701,24132
CE;2304954;Guaiúba;108296,0235
